product_name,overall_rating,no_ratings,no_reviews,avg_user_rating,rating_discrepancy,rating_discrepancy_pct
HP Victus Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Wind...,4.3,33,1,1.0,3.3,76.74
Lenovo IdeaPad Slim 3 Intel Intel Core i7 13th Gen Core™ i7-13...,3.9,7,1,1.0,2.9,74.36
HP Laptop Intel Core i3 N305 - (8 GB/512 GB SSD/Windows 11 Hom...,4.2,109,3,2.3333333333333335,1.8666666666666667,44.44
Acer Aspire Lite Intel Core i5 12th Gen 1235U - (16 GB/512 GB ...,3.7,170,9,2.3333333333333335,1.3666666666666667,36.94
Acer Aspire Lite Intel Core i5 12th Gen 1235U - (16 GB/1 TB SS...,3.7,170,9,2.3333333333333335,1.3666666666666667,36.94
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 13th Ge...",4.4,48,2,3.0,1.4000000000000004,31.82
ASUS Vivobook 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB ...,4.4,48,2,3.0,1.4000000000000004,31.82
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/...,4.2,17,2,3.0,1.2000000000000002,28.57
MSI Modern 15 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/W...,4.2,133,18,3.0,1.2000000000000002,28.57
MSI Modern 14 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD...,4.2,133,18,3.0,1.2000000000000002,28.57
MSI Thin 15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/...,4.1,8,2,3.0,1.0999999999999996,26.83
MSI Sword 16 HX Intel Core i9 13th Gen 13980HX - (32 GB/1 TB S...,4.1,46,2,3.0,1.0999999999999996,26.83
MSI Modern 14 H Intel Core i9 13th Gen 13900H - (16 GB/1 TB SS...,4.0,12,2,3.0,1.0,25.0
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD...,3.7,118,12,2.9166666666666665,0.7833333333333337,21.17
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen...",4.2,496,24,3.3333333333333335,0.8666666666666667,20.63
Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1305U - (8 GB/512...,4.2,33,3,3.3333333333333335,0.8666666666666667,20.63
Lenovo IdeaPad 5 2-in-1 WUXGA IPS AMD Ryzen 7 Octa Core 8845HS...,4.4,7,2,3.5,0.9000000000000004,20.45
HP 15s Intel Core i7 13th Gen 1360P - (16 GB/512 GB SSD/Window...,4.4,305,24,3.5,0.9000000000000004,20.45
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB S...,4.1,165,14,3.2857142857142856,0.8142857142857141,19.86
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/1 TB SSD...,4.1,165,14,3.2857142857142856,0.8142857142857141,19.86
Lenovo IdeaPad Flex 5 AMD Ryzen 7 Octa Core 5700U - (16 GB/512...,4.1,65,6,3.3333333333333335,0.7666666666666662,18.7
HP AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 H...,4.2,38,7,3.4285714285714284,0.7714285714285718,18.37
HP 255 G8 Silver AMD Ryzen 5 Hexa Core AMD Ryzen 5 5500U - (8 ...,4.4,77,8,3.625,0.7750000000000004,17.61
HP Pavilion 14 Touchscreen Intel Core i5 12th Gen 1235U - (16 ...,4.0,115,10,3.3,0.7000000000000002,17.5
HP Pavilion Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Win...,4.2,255,19,3.473684210526316,0.7263157894736842,17.29
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i7 13th Gen...",4.2,89,6,3.5,0.7000000000000002,16.67
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/5...,4.1,"1,582",74,3.4304635761589406,0.669536423841059,16.33
ASUS AMD Ryzen 5 Quad Core - (8 GB/512 GB SSD/Windows 11 Home)...,4.3,54,5,3.6,0.6999999999999997,16.28
ASUS Vivobook Go 14 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB...,4.3,54,5,3.6,0.6999999999999997,16.28
Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H - ...,4.4,62,11,3.727272727272727,0.6727272727272733,15.29
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/51...,4.3,345,42,3.6473684210526316,0.6526315789473682,15.18
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/W...,4.4,218,8,3.75,0.6500000000000004,14.77
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD...,4.4,218,8,3.75,0.6500000000000004,14.77
ASUS ROG Ally AMD Ryzen Z1 HexaCore Zen4 - (16 GB/512 GB SSD/W...,4.4,25,4,3.75,0.6500000000000004,14.77
"ASUS Vivobook 16X for Creator, Intel Core i7 12th Gen 12700H -...",4.3,94,6,3.6666666666666665,0.6333333333333333,14.73
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/16 GB EMM...,4.1,203,16,3.5,0.5999999999999996,14.63
